code,name,close,pct_change,volume,amount
301680.SZ,,126.71,118.4655,129529.27,1700104.481
688176.SH,,16.78,20.0286,610776.6,977989.786
301218.SZ,,38.51,20.0062,118486.5,426264.044
301265.SZ,,19.8,20.0,370891.14,689141.515
301638.SZ,,28.38,20.0,746650.1,2044991.805
301205.SZ,,237.72,20.0,175223.14,3824469.173
301032.SZ,,15.13,19.9841,242978.37,350193.662
920375.BJ,,16.88,18.5393,268544.06,467688.994
300903.SZ,,37.52,17.9874,766358.17,2739031.648
300323.SZ,,11.94,16.4878,3492782.01,4107579.941
301150.SZ,,49.63,14.6984,226506.21,1075743.909
301373.SZ,,66.6,14.374,172348.45,1095895.742
688331.SH,,105.9,13.871,101405.72,1021732.649
301220.SZ,,40.38,13.7785,88517.77,348839.729
301045.SZ,,49.16,13.7173,88661.22,418945.376
688031.SH,,253.0,13.3462,119520.42,2907073.422
300927.SZ,,34.9,13.128,193510.07,655504.866
300831.SZ,,21.03,12.701,570611.97,1173285.043
300209.SZ,,8.71,12.5323,735726.0,613482.346
688087.SH,,43.65,12.2685,85479.78,353058.479
300490.SZ,,19.24,12.1212,628239.89,1169229.186
300475.SZ,,155.04,12.0636,554389.2,8250904.799
688787.SH,,149.88,11.7673,51986.14,741777.797
300480.SZ,,32.71,11.524,464205.82,1456198.715
688248.SH,,58.07,11.5015,153555.37,890677.556
920159.BJ,,47.25,11.4387,49515.63,222773.813
688328.SH,,39.75,11.0335,125807.42,476918.913
301085.SZ,,65.49,11.0,103020.34,654710.132
300641.SZ,,20.38,10.8814,287238.68,568492.428
688036.SH,,59.5,10.8627,283990.92,1648867.33
688118.SH,,35.0,10.8296,129297.72,443638.008
688272.SH,,35.88,10.6724,55148.73,189917.587
301349.SZ,,48.25,10.5637,63393.16,298578.569
300617.SZ,,71.97,10.553,286868.79,1999737.518
300868.SZ,,40.0,10.4972,80226.32,309331.427
301093.SZ,,86.98,10.4087,82245.03,694500.057
300658.SZ,,30.26,10.3172,499813.88,1437680.679
000516.SZ,,5.01,10.1099,673856.85,331978.767
002506.SZ,,5.56,10.099,10919285.26,5816783.207
600545.SH,,4.15,10.0796,1782960.36,730192.461
600319.SH,,8.86,10.0621,119533.01,102570.876
301392.SZ,,115.55,10.0476,64447.79,731685.728
002063.SZ,,7.01,10.0471,1273210.22,871510.841
603158.SH,,10.96,10.0402,269236.04,288039.184
002637.SZ,,14.58,10.0377,118172.04,164788.563
000601.SZ,,6.14,10.0358,570186.71,342787.59
600227.SH,,3.29,10.0334,1776887.85,559736.011
603778.SH,,17.11,10.0322,943782.65,1570417.421
600676.SH,,8.45,10.026,247871.27,204462.681
605268.SH,,13.94,10.0237,56492.4,78750.406
601789.SH,,5.49,10.02,1140765.32,618766.455
600397.SH,,19.99,10.0165,1011128.11,1941283.761
002667.SZ,,26.69,10.0165,357334.02,917274.202
002648.SZ,,26.91,10.0164,1044805.73,2718043.746
600761.SH,,22.52,10.0147,489504.47,1063495.565
603716.SH,,23.18,10.0142,210432.21,480068.074
002448.SZ,,17.91,10.0123,298279.2,523956.441
001216.SZ,,20.99,10.0105,150965.63,303892.945
002227.SZ,,10.77,10.0102,91251.03,97888.583
001326.SZ,,65.75,10.005,19174.13,121363.672
001400.SZ,,125.9,10.0044,22165.98,270232.658
002843.SZ,,27.93,10.0039,823586.05,2235600.156
600645.SH,,30.9,10.0036,432871.26,1319837.57
600482.SH,,39.26,10.0028,468134.74,1788067.11
000534.SZ,,41.24,10.0027,205058.29,812594.885
002913.SZ,,53.12,10.0021,203436.7,1036349.517
002165.SZ,,12.21,10.0,837476.04,991693.842
000818.SZ,,23.76,10.0,432672.23,975397.6
000720.SZ,,4.4,10.0,581151.6,251906.921
000677.SZ,,4.4,10.0,584820.68,252354.301
600825.SH,,6.6,10.0,559585.07,367465.721
603316.SH,,16.94,10.0,203722.97,334996.046
002470.SZ,,2.86,10.0,4191672.3,1170273.008
002015.SZ,,15.62,10.0,985587.64,1505216.082
002261.SZ,,39.05,10.0,2041674.42,7488579.384
603269.SH,,16.94,10.0,545852.31,900414.633
603063.SH,,31.9,10.0,492248.28,1534877.409
600722.SH,,13.53,10.0,1682052.54,2118469.002
601616.SH,,6.16,10.0,854670.01,512143.57
002961.SZ,,27.18,9.996,255150.31,679060.447
603097.SH,,41.05,9.9946,72230.0,286651.962
002849.SZ,,19.59,9.9944,101130.8,190034.345
600590.SH,,16.18,9.9932,309543.55,498375.625
605286.SH,,42.49,9.9922,48951.0,205555.195
002478.SZ,,13.87,9.9921,533243.62,717845.076
001696.SZ,,25.54,9.9914,1550010.33,3878666.206
003023.SZ,,25.65,9.9914,128338.73,324950.667
603285.SH,,37.76,9.9913,35431.95,130538.982
000833.SZ,,26.32,9.9875,646185.18,1619723.673
600470.SH,,8.37,9.9869,1025249.84,837651.067
601567.SH,,29.41,9.985,106859.49,314273.76
605399.SH,,16.64,9.9802,136487.75,218020.126
000815.SZ,,16.31,9.9798,961485.03,1508224.628
000533.SZ,,14.88,9.9778,99508.88,148069.213
600821.SH,,8.6,9.9744,1293714.27,1097969.937
001896.SZ,,15.88,9.9723,2364096.03,3637322.087
000545.SZ,,3.75,9.9707,2105687.6,775213.213
002809.SZ,,13.68,9.9678,146911.33,195549.694
600108.SH,,5.52,9.9602,4930479.08,2592029.375
002498.SZ,,9.83,9.9553,3317813.59,3225933.04
603880.SH,,6.96,9.9526,206524.26,141079.89
600354.SH,,7.63,9.9424,1672117.37,1252195.267
600075.SH,,7.19,9.9388,869459.83,613889.513
000509.SZ,,3.99,9.9174,1664844.16,631275.859
600396.SH,,3.66,9.9099,977471.07,351683.75
688759.SH,,40.71,9.9082,56515.69,226788.736
688300.SH,,75.0,9.9062,127342.62,920458.312
